Source,CH1,CH2
Second,Value,Value
+6.852000E-07,+4.640000E+00,+8.000004E-02
+6.872000E-07,+4.640000E+00,+1.600001E-01
+6.892000E-07,+4.720000E+00,+1.600001E-01
+6.912000E-07,+4.640000E+00,+1.600001E-01
+6.932000E-07,+4.640000E+00,+1.600001E-01
+6.952000E-07,+4.640000E+00,+8.000004E-02
+6.972000E-07,+4.640000E+00,+8.000004E-02
+6.992000E-07,+4.640000E+00,+8.000004E-02
+7.012000E-07,+4.640000E+00,+8.000004E-02
+7.032000E-07,+4.640000E+00,+8.000004E-02
+7.052000E-07,+4.640000E+00,+8.000004E-02
+7.072000E-07,+4.640000E+00,+8.000004E-02
+7.092000E-07,+4.640000E+00,+8.000004E-02
+7.112000E-07,+4.640000E+00,+8.000004E-02
+7.132000E-07,+4.640000E+00,+8.000004E-02
+7.152000E-07,+4.640000E+00,+8.000004E-02
+7.172000E-07,+4.640000E+00,+8.000004E-02
+7.192000E-07,+4.640000E+00,+8.000004E-02
+7.212000E-07,+4.640000E+00,+8.000004E-02
+7.232000E-07,+4.640000E+00,+8.000004E-02
+7.252000E-07,+4.640000E+00,+8.000004E-02
+7.272000E-07,+4.640000E+00,+8.000004E-02
+7.292000E-07,+4.640000E+00,+8.000004E-02
+7.312000E-07,+4.640000E+00,+8.000004E-02
+7.332000E-07,+4.640000E+00,+8.000004E-02
+7.352000E-07,+4.640000E+00,+8.000004E-02
+7.372000E-07,+4.640000E+00,+1.192093E-07
+7.392000E-07,+4.720000E+00,+8.000004E-02
+7.412000E-07,+4.640000E+00,+8.000004E-02
+7.432000E-07,+4.640000E+00,+1.192093E-07
+7.452000E-07,+4.640000E+00,+8.000004E-02
+7.472000E-07,+4.640000E+00,+8.000004E-02
+7.492000E-07,+4.640000E+00,+1.192093E-07
+7.512000E-07,+4.640000E+00,+8.000004E-02
+7.532000E-07,+4.640000E+00,+8.000004E-02
+7.552000E-07,+4.640000E+00,+1.192093E-07
+7.572000E-07,+4.640000E+00,+1.192093E-07
+7.592000E-07,+4.640000E+00,+1.192093E-07
+7.612000E-07,+4.720000E+00,+8.000004E-02
+7.632000E-07,+4.640000E+00,+1.192093E-07
+7.652000E-07,+4.640000E+00,+1.192093E-07
+7.672000E-07,+4.720000E+00,+1.192093E-07
+7.692000E-07,+4.720000E+00,+1.192093E-07
+7.712000E-07,+4.720000E+00,+1.192093E-07
+7.732000E-07,+4.640000E+00,+1.192093E-07
+7.752000E-07,+4.640000E+00,+1.192093E-07
+7.772000E-07,+4.640000E+00,+1.192093E-07
+7.792000E-07,+4.720000E+00,+1.192093E-07
+7.812000E-07,+4.640000E+00,+8.000004E-02
+7.832000E-07,+4.720000E+00,+1.192093E-07
+7.852000E-07,+4.720000E+00,+1.192093E-07
+7.872000E-07,+4.720000E+00,+1.192093E-07
+7.892000E-07,+4.640000E+00,+1.192093E-07
+7.912000E-07,+4.640000E+00,+1.192093E-07
+7.932000E-07,+4.640000E+00,+1.192093E-07
+7.952000E-07,+4.640000E+00,+1.192093E-07
+7.972000E-07,+4.640000E+00,+1.192093E-07
+7.992000E-07,+4.720000E+00,+1.192093E-07
+8.012000E-07,+4.640000E+00,+1.192093E-07
+8.032000E-07,+4.640000E+00,+1.192093E-07
+8.052000E-07,+4.640000E+00,+1.192093E-07
+8.072000E-07,+4.720000E+00,+1.192093E-07
+8.092000E-07,+4.640000E+00,+1.192093E-07
+8.112000E-07,+4.720000E+00,+1.192093E-07
+8.132000E-07,+4.640000E+00,+1.192093E-07
+8.152000E-07,+4.640000E+00,+1.192093E-07
+8.172000E-07,+4.640000E+00,+1.192093E-07
+8.192000E-07,+4.640000E+00,+1.192093E-07
+8.212000E-07,+4.640000E+00,+1.192093E-07
+8.232000E-07,+4.720000E+00,+1.192093E-07
+8.252000E-07,+4.640000E+00,+1.192093E-07
+8.272000E-07,+4.640000E+00,+1.192093E-07
+8.292000E-07,+4.640000E+00,+1.192093E-07
+8.312000E-07,+4.640000E+00,+1.192093E-07
+8.332000E-07,+4.640000E+00,+1.192093E-07
+8.352000E-07,+4.640000E+00,+1.192093E-07
+8.372000E-07,+4.640000E+00,+1.192093E-07
+8.392000E-07,+4.640000E+00,+1.192093E-07
+8.412000E-07,+4.720000E+00,+1.192093E-07
+8.432000E-07,+4.640000E+00,+1.192093E-07
+8.452000E-07,+4.640000E+00,+1.192093E-07
+8.472000E-07,+4.720000E+00,+1.192093E-07
+8.492000E-07,+4.640000E+00,+1.192093E-07
